Mission name,Launch date,Description,Ref(s)
Sputnik 1,1957-10-04,First Earth orbiter,[1][2]
Sputnik 2,1957-11-03,"Earth orbiter, first animal in orbit, a dog named Laika",[2][3][4]
Explorer 1,1958-02-01,Earth orbiter; discovered Van Allen radiation belts,[5]
Vanguard 1,1958-03-17,Earth orbiter; oldest spacecraft still in Earth orbit,[6]
Luna 1,1959-01-02,First lunar flyby (attempted lunar impact?); first artificial satellite in heliocentric orbit.,[7][8][9][10]
Pioneer 4,1959-03-03,Lunar flyby,[11][12]
Luna 2,1959-09-12,"First extraterrestrial impact and lunar impact, First artificial object on Moon",[10][13]
Luna 3,1959-10-04,"Lunar flyby; First images of another celestial body taken from space, most notably, the far side of Moon",[10][14]
Pioneer 5,1960-03-11,Interplanetary space investigations,[15][16]
Venera 1,1961-02-12,First probe to another planet; Venus flyby (contact lost before flyby),[17][18][19]
Vostok 1,1961-04-12,First crewed Earth orbiter (Yuri Gagarin),[20][21]
Ranger 1,1961-08-23,Attempted lunar test flight (failed to leave Earth orbit),[22][23][24]
Ranger 2,1961-11-18,Attempted lunar test flight (failed to leave Earth orbit),[24][25][26]
Ranger 3,1962-01-26,Attempted lunar impact (missed Moon),[24][27][28]
Ranger 4,1962-04-23,Lunar impact (but unintentionally became the first spacecraft to hit the lunar farside and returned no data),[24][29][30][31]
Mariner 2,1962-08-27,"First successful planetary encounter, First successful Venus flyby",[32][33][34]
Ranger 5,1962-10-18,Attempted lunar impact (missed Moon),[24][35][36]
Mars 1,1962-11-01,First probe to Mars: flyby (contact lost),[37][38]
Luna 4,1963-04-02,Attempted lunar lander (missed Moon),[39][40]
Cosmos 21,1963-11-11,Attempted Venera test flight?,[41]
Ranger 6,1964-01-30,Lunar impact (cameras failed),[42][43]
Zond 1,1964-04-02,Venus flyby (contact lost),[44][45][46]
Ranger 7,1964-07-28,Lunar impact (success),[47][48][49]
Voskhod 1,1964-10-12,First orbiter with multimember crew,[50][51]
Mariner 3,1964-11-05,Attempted Mars flyby (failed to attain correct trajectory),[52][53]
